                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.2267,                 8.5815,                 1.4572,                 3.2138,                 11.616,                  1.403,                0.16458,                0.22758,                0.08333,                0.01775,                 3.0201,                 7.1462,                   1.42,                 2.8941,                 10.239,                 1.3573,             0.00011029,             0.00011029,             0.00011029
                     36,                 3.1462,                 8.0554,                 1.4421,                 3.1014,                 10.822,                  1.374,                0.17261,                0.18704,                0.08486,                0.01951,                 2.9252,                 7.0888,                 1.3958,                 2.8673,                 10.175,                 1.3628,             0.00011006,             0.00011006,             0.00011006
                     37,                 3.1085,                 7.9425,                 1.4017,                 3.0253,                 10.483,                 1.3267,                0.20835,                0.21983,                0.12338,                0.02831,                 2.8478,                 6.7662,                  1.363,                 2.7446,                 9.7106,                 1.3044,             0.00010982,             0.00010982,             0.00010982
                     38,                 3.0838,                 7.6858,                 1.4069,                 3.0486,                  10.37,                 1.3315,                0.25384,                0.24048,                0.15157,                0.03388,                 2.8613,                 6.7537,                 1.3591,                 2.6793,                 9.5523,                 1.2861,             0.00010959,             0.00010959,             0.00010959
                     39,                 3.0097,                 7.4202,                 1.4148,                 2.9669,                  10.08,                 1.3217,                0.23368,                0.23133,                0.15554,                0.03483,                 2.7862,                 6.4854,                 1.3487,                 2.6448,                 9.3115,                 1.2938,             0.00010936,             0.00010936,             0.00010936
                     40,                 3.0605,                 7.3819,                 1.3841,                 3.0346,                 9.9245,                 1.3041,                0.27879,                0.21121,                0.16095,                 0.0435,                 2.7302,                 6.3719,                 1.3314,                 2.5702,                 9.1361,                 1.2759,             0.00010912,             0.00010912,             0.00010912
                     41,                 2.9415,                 7.2563,                 1.3542,                 2.9223,                 9.8999,                 1.2726,                0.26307,                0.24138,                0.18052,                0.04696,                 2.6893,                 6.2633,                 1.2994,                 2.6063,                 9.0047,                 1.2637,             0.00010889,             0.00010889,             0.00010889
                     42,                 2.9667,                 7.0315,                 1.4308,                  2.887,                 9.7813,                 1.3184,                0.20893,                0.24138,                0.15963,                0.03707,                 3.1069,                 6.4162,                 1.4171,                 2.7648,                 9.1868,                 1.3048,             0.00010865,             0.00010865,             0.00010865
                     43,                 2.9992,                 7.2423,                 1.3642,                 2.8856,                 9.7048,                 1.2632,                0.30038,                0.25431,                0.19096,                 0.0483,                 2.6866,                 6.1578,                 1.2936,                 2.4893,                 8.7494,                  1.226,             0.00010842,             0.00010842,             0.00010842
                     44,                 2.9648,                 6.9602,                 1.3748,                 2.8804,                 9.5297,                 1.2583,                0.27439,                0.25862,                0.19224,                0.04919,                 2.6825,                 5.9588,                 1.3061,                 2.5168,                 8.6249,                 1.2414,             0.00010819,             0.00010819,             0.00010819
                     45,                 2.8809,                 6.9272,                 1.3648,                 2.8024,                 9.6747,                 1.2658,                0.32137,                 0.3613,                0.22358,                0.05687,                 2.6743,                 5.8966,                 1.2903,                 2.5002,                 8.4559,                 1.2013,             0.00010795,             0.00010795,             0.00010795
                     46,                 2.8783,                 6.7168,                 1.3486,                 2.8154,                 9.0917,                  1.253,                 0.3267,                0.36207,                0.24139,                0.06069,                 2.6632,                  5.734,                  1.297,                 2.5271,                 8.3914,                 1.2075,             0.00010772,             0.00010772,             0.00010772
                     47,                  2.831,                 6.5473,                 1.3377,                 2.7847,                 8.8805,                 1.2306,                0.33797,                0.30172,                 0.2363,                0.05726,                 2.6517,                 5.7243,                 1.3026,                 2.6069,                 8.5076,                 1.2358,             0.00010749,             0.00010749,             0.00010749
                     48,                 2.8382,                 6.5373,                 1.3346,                 2.7657,                 8.8629,                 1.2276,                0.31905,                0.31034,                0.23784,                0.06323,                 2.6412,                 5.6341,                 1.2934,                 2.5462,                 8.3237,                 1.2283,             0.00010725,             0.00010725,             0.00010725
                     49,                 2.8468,                 6.5317,                 1.3259,                 2.7242,                   8.85,                 1.2277,                0.34476,                0.30603,                0.26948,                0.06974,                 2.6615,                 5.5242,                 1.3034,                 2.5444,                 8.1448,                 1.2211,             0.00010702,             0.00010702,             0.00010702
                     50,                 2.8387,                 6.1594,                 1.3219,                 2.7603,                 8.3441,                 1.2156,                0.30155,                0.33683,                0.24683,                0.06849,                 2.7957,                 5.6181,                 1.3314,                 2.5099,                 8.0644,                 1.1972,             0.00010679,             0.00010679,             0.00010679
                     51,                 2.7597,                 6.3624,                  1.335,                 2.6208,                 8.7339,                  1.214,                0.30865,                  0.375,                0.25331,                0.06977,                 2.5738,                 5.4638,                 1.2717,                 2.4287,                  7.891,                 1.1847,             0.00010655,             0.00010655,             0.00010655
                     52,                 2.8152,                 6.0734,                 1.3397,                 2.7094,                 8.2516,                 1.2237,                0.31144,                0.39224,                0.28754,                0.07669,                 2.5682,                 5.3235,                 1.2701,                 2.4307,                 7.7987,                 1.1821,             0.00010632,             0.00010632,             0.00010632
                     53,                 2.7432,                 6.2648,                  1.284,                 2.6591,                 8.3872,                 1.1853,                0.33953,                0.36207,                0.31598,                0.09222,                 2.5691,                 5.2271,                 1.2685,                 2.4889,                  7.808,                 1.2038,             0.00010608,             0.00010608,             0.00010608
                     54,                 2.7331,                   6.04,                 1.3142,                 2.6013,                 8.2185,                 1.1972,                0.37948,                0.36377,                 0.3312,                0.09396,                 2.5611,                 5.1508,                 1.2662,                 2.4633,                 7.6833,                 1.1917,             0.00010585,             0.00010585,             0.00010585
                     55,                 2.7424,                 5.9514,                 1.2746,                  2.615,                 8.0306,                 1.1667,                0.33863,                0.36207,                0.30584,                0.08986,                 2.5878,                 5.2547,                  1.267,                 2.4037,                 7.6251,                  1.182,             0.00010562,             0.00010562,             0.00010562
                     56,                 2.7203,                 5.7761,                 1.3104,                 2.6343,                  7.973,                 1.1897,                0.32312,                0.39224,                0.31377,                0.09067,                 2.5574,                 5.1007,                 1.2584,                 2.4133,                 7.4752,                 1.1728,             0.00010538,             0.00010538,             0.00010538
                     57,                 2.7596,                 5.9026,                 1.2956,                 2.6705,                 7.9858,                 1.1815,                0.37744,                0.43534,                0.31413,                0.09756,                 2.5263,                 4.9915,                 1.2504,                 2.4006,                 7.3793,                 1.1718,             0.00010515,             0.00010515,             0.00010515
                     58,                 2.7569,                  5.771,                 1.3059,                 2.6748,                 7.8287,                 1.1959,                0.39133,                0.35776,                0.32388,                0.10006,                 2.5199,                 4.9863,                 1.2508,                 2.3857,                 7.3676,                 1.1792,             0.00010492,             0.00010492,             0.00010492
                     59,                 2.6938,                 5.8958,                 1.2795,                 2.5993,                 7.8591,                  1.169,                0.35202,                0.37069,                0.32199,                 0.0956,                 2.5716,                 5.0152,                 1.2564,                 2.4091,                 7.3106,                 1.1699,             0.00010468,             0.00010468,             0.00010468
