                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 2.9646,                 6.1253,                 0.9803,                0.33133,                0.40086,                0.26039,                 0.0803,                 2.7398,                 5.0222,                0.95498,             9.7206e-05,             9.7206e-05,             9.7206e-05
                     92,                 2.9995,                  5.943,                0.99711,                 0.3961,                0.41379,                0.31865,                0.08972,                 2.7352,                 4.9498,                0.95462,             9.6972e-05,             9.6972e-05,             9.6972e-05
                     93,                 2.9865,                 6.1611,                 1.0034,                0.35532,                0.48707,                0.32067,                0.09566,                 2.6909,                 4.9263,                0.94589,             9.6739e-05,             9.6739e-05,             9.6739e-05
                     94,                 2.8726,                 5.7547,                0.98721,                0.35105,                0.51998,                 0.3246,                0.09811,                 2.6882,                 4.8713,                 0.9493,             9.6505e-05,             9.6505e-05,             9.6505e-05
                     95,                 2.9132,                  5.795,                0.99307,                0.35798,                0.48707,                0.32479,                0.09134,                 2.7359,                 4.9525,                0.95166,             9.6271e-05,             9.6271e-05,             9.6271e-05
                     96,                 2.9488,                 5.7501,                0.97313,                 0.3739,                0.47845,                0.33141,                0.09398,                 2.6869,                 4.8548,                0.94531,             9.6038e-05,             9.6038e-05,             9.6038e-05
                     97,                 2.9171,                 5.7571,                0.99889,                0.36778,                    0.5,                0.33641,                0.09858,                  2.697,                 4.8776,                0.94372,             9.5804e-05,             9.5804e-05,             9.5804e-05
                     98,                 2.8868,                 5.7791,                0.97411,                0.37456,                0.46207,                 0.3529,                0.10592,                 2.7147,                 5.0036,                0.95235,             9.5571e-05,             9.5571e-05,             9.5571e-05
                     99,                 2.8681,                 5.7544,                0.97154,                 0.3533,                0.47414,                 0.3134,                0.09588,                 2.6799,                 4.9408,                0.94234,             9.5337e-05,             9.5337e-05,             9.5337e-05
                    100,                 2.9928,                 5.6894,                0.98128,                0.36059,                0.48707,                0.31905,                 0.0957,                 2.6493,                 4.9094,                0.94095,             9.5103e-05,             9.5103e-05,             9.5103e-05
                    101,                 2.9297,                 5.6541,                0.99231,                0.33867,                0.46121,                0.30795,                0.09782,                 2.6985,                 4.8646,                0.94829,              9.487e-05,              9.487e-05,              9.487e-05
                    102,                 2.9216,                 5.9054,                0.98351,                0.36046,                0.43103,                0.33121,                0.10904,                 2.6515,                 4.8671,                0.93555,             9.4636e-05,             9.4636e-05,             9.4636e-05
                    103,                 2.9207,                 5.8605,                0.98776,                0.34235,                0.43966,                0.29058,                0.09087,                 2.6391,                 4.8351,                0.94788,             9.4402e-05,             9.4402e-05,             9.4402e-05
                    104,                 2.9641,                 5.9777,                0.99226,                0.35352,                0.48707,                0.29583,                0.08775,                 2.6336,                 4.7799,                0.94815,             9.4169e-05,             9.4169e-05,             9.4169e-05
                    105,                 2.9693,                 5.7395,                0.98497,                 0.4015,                0.46983,                0.35767,                0.11375,                 2.6254,                 4.8026,                0.93829,             9.3935e-05,             9.3935e-05,             9.3935e-05
