told,tell,VERB,VBD,ROOT,xxxx,True,False
The,the,DET,DT,det,Xxx,True,True
AM,AM,PROPN,NNP,compound,XX,True,True
Show,Show,PROPN,NNP,dobj,Xxxx,True,True
today,today,NOUN,NN,npadvmod,xxxx,True,False,2024-04-09
.,.,PUNCT,.,punct,.,False,False

,
,SPACE,_SP,dep,
,False,False
In,in,ADP,IN,prep,Xx,True,True
early,early,ADJ,JJ,amod,xxxx,True,False,early
November,November,PROPN,NNP,pobj,Xxxxx,True,False,2024-11-01 TO 2024-11-30
there,there,PRON,EX,expl,xxxx,True,True
should,should,AUX,MD,aux,xxxx,True,True
be,be,AUX,VB,ROOT,xx,True,True
a,a,DET,DT,det,x,True,True
vaccine,vaccine,NOUN,NN,compound,xxxx,True,False
passport,passport,NOUN,NN,attr,xxxx,True,False
that,that,PRON,WDT,nsubjpass,xxxx,True,True
could,could,AUX,MD,aux,xxxx,True,True
be,be,AUX,VB,auxpass,xx,True,True
downloaded,download,VERB,VBN,relcl,xxxx,True,False
on,on,ADP,IN,prep,xx,True,True
people,people,NOUN,NNS,poss,xxxx,True,False
's,'s,PART,POS,case,'x,False,True
phones,phone,NOUN,NNS,pobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False

,
,SPACE,_SP,dep,
,False,False
The,the,DET,DT,det,Xxx,True,True
app,app,NOUN,NN,nsubjpass,xxx,True,False
was,be,AUX,VBD,aux,xxx,True,True
being,be,AUX,VBG,auxpass,xxxx,True,True
managed,manage,VERB,VBN,ROOT,xxxx,True,False
by,by,ADP,IN,agent,xx,True,True
the,the,DET,DT,det,xxx,True,True
Ministry,Ministry,PROPN,NNP,pobj,Xxxxx,True,False
of,of,ADP,IN,prep,xx,True,True
Health,Health,PROPN,NNP,pobj,Xxxxx,True,False
which,which,PRON,WDT,nsubj,xxxx,True,True
was,be,AUX,VBD,aux,xxx,True,True
working,work,VERB,VBG,ccomp,xxxx,True,False
with,with,ADP,IN,prep,xxxx,True,True
private,private,ADJ,JJ,amod,xxxx,True,False
providers,provider,NOUN,NNS,pobj,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
develop,develop,VERB,VB,advcl,xxxx,True,False
it,it,PRON,PRP,dobj,xx,True,True
.,.,PUNCT,.,punct,.,False,False

,
,SPACE,_SP,dep,
,False,False
Work,Work,PROPN,NNP,nsubj,Xxxx,True,False
was,be,AUX,VBD,ROOT,xxx,True,True
now,now,ADV,RB,advmod,xxx,True,True
under,under,ADP,IN,prep,xxxx,True,True
way,way,NOUN,NN,pobj,xxx,True,False
of,of,ADP,IN,prep,xx,True,True
what,what,PRON,WP,pobj,xxxx,True,True
an,an,DET,DT,det,xx,True,True
alert,alert,ADJ,JJ,amod,xxxx,True,False
level,level,NOUN,NN,compound,xxxx,True,False
framework,framework,NOUN,NN,nsubj,xxxx,True,False
would,would,AUX,MD,aux,xxxx,True,True
look,look,VERB,VB,pcomp,xxxx,True,False
like,like,ADP,IN,prep,xxxx,True,False
with,with,ADP,IN,prep,xxxx,True,True
a,a,DET,DT,det,x,True,True
vaccine,vaccine,NOUN,NN,compound,xxxx,True,False
passport,passport,NOUN,NN,nsubj,xxxx,True,False
and,and,CCONJ,CC,cc,xxx,True,True
announcements,announcement,NOUN,NNS,conj,xxxx,True,False
including,include,VERB,VBG,prep,xxxx,True,False
requirements,requirement,NOUN,NNS,pobj,xxxx,True,False
for,for,ADP,IN,prep,xxx,True,True
it,it,PRON,PRP,pobj,xx,True,True
would,would,AUX,MD,aux,xxxx,True,True
be,be,AUX,VB,conj,xx,True,True
likely,likely,ADJ,JJ,acomp,xxxx,True,False
in,in,ADP,IN,prep,xx,True,True
the,the,DET,DT,det,xxx,True,True,the
next,next,ADJ,JJ,amod,xxxx,True,True,next
few,few,ADJ,JJ,amod,xxx,True,True,few
weeks,week,NOUN,NNS,pobj,xxxx,True,False,weeks
.,.,PUNCT,.,punct,.,False,False

,
,SPACE,_SP,dep,
,False,False
Act,Act,PROPN,NNP,compound,Xxx,True,False
Party,Party,PROPN,NNP,compound,Xxxxx,True,False
leader,leader,NOUN,NN,compound,xxxx,True,False
David,David,PROPN,NNP,compound,Xxxxx,True,False
Seymour,Seymour,PROPN,NNP,nsubj,Xxxxx,True,False
told,tell,VERB,VBD,ROOT,xxxx,True,False
Newstalk,Newstalk,PROPN,NNP,compound,Xxxxx,True,False
ZB,ZB,PROPN,NNP,poss,XX,True,False
's,'s,PART,POS,case,'x,False,True
Mike,Mike,PROPN,NNP,compound,Xxxx,True,False
Hosking,Hosking,PROPN,NNP,dobj,Xxxxx,True,False
that,that,PRON,DT,mark,xxxx,True,True
Level,level,NOUN,NN,nsubjpass,Xxxxx,True,False
4,4,NUM,CD,nummod,d,False,False
would,would,AUX,MD,aux,xxxx,True,True
be,be,AUX,VB,auxpass,xx,True,True
gone,go,VERB,VBN,ccomp,xxxx,True,False
in,in,ADP,IN,prep,xx,True,True
its,its,PRON,PRP$,poss,xxx,True,True
Covid,covid,ADJ,JJ,amod,Xxxxx,True,False
package,package,NOUN,NN,pobj,xxxx,True,False
revealed,reveal,VERB,VBD,ccomp,xxxx,True,False
today,today,NOUN,NN,npadvmod,xxxx,True,False,2024-04-09
.,.,PUNCT,.,punct,.,False,False
",",PUNCT,``,punct,",False,False
We,we,PRON,PRP,nsubj,Xx,True,True
need,need,VERB,VBP,ROOT,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
start,start,VERB,VB,xcomp,xxxx,True,False
using,use,VERB,VBG,xcomp,xxxx,True,True
isolation,isolation,NOUN,NN,dobj,xxxx,True,False
in,in,ADP,IN,prep,xx,True,True
a,a,DET,DT,det,x,True,True
targeted,targeted,ADJ,JJ,amod,xxxx,True,False
way,way,NOUN,NN,pobj,xxx,True,False
.,.,PUNCT,.,punct,.,False,False
The,the,DET,DT,det,Xxx,True,True
costs,cost,NOUN,NNS,nsubj,xxxx,True,False
and,and,CCONJ,CC,cc,xxx,True,True
benefits,benefit,NOUN,NNS,conj,xxxx,True,False
of,of,ADP,IN,prep,xx,True,True
isolating,isolate,VERB,VBG,pcomp,xxxx,True,False
a,a,DET,DT,det,x,True,True
whole,whole,ADJ,JJ,amod,xxxx,True,True
city,city,NOUN,NN,dobj,xxxx,True,False
do,do,AUX,VBP,aux,xx,True,True
n't,not,PART,RB,neg,x'x,False,True
stack,stack,VERB,VB,ROOT,xxxx,True,False
up,up,ADP,RP,prt,xx,True,True
with,with,ADP,IN,prep,xxxx,True,True
Delta,Delta,PROPN,NNP,pobj,Xxxxx,True,False
.,.,PUNCT,.,punct,.,False,False
",",PUNCT,'',punct,",False,False

,
,SPACE,_SP,dep,
,False,False
He,he,PRON,PRP,nsubj,Xx,True,True
said,say,VERB,VBD,ROOT,xxxx,True,False
isolation,isolation,NOUN,NN,nsubjpass,xxxx,True,False
should,should,AUX,MD,aux,xxxx,True,True
be,be,AUX,VB,auxpass,xx,True,True
reserved,reserve,VERB,VBN,ccomp,xxxx,True,False
for,for,ADP,IN,prep,xxx,True,True
people,people,NOUN,NNS,pobj,xxxx,True,False
who,who,PRON,WP,nsubj,xxx,True,True
had,have,AUX,VBD,aux,xxx,True,True
recently,recently,ADV,RB,advmod,xxxx,True,False
