                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                   4.16,                 14.157,                  1.203,                 4.1168,                 15.215,                 1.1783,                0.00062,                0.18534,                0.00283,                0.00047,                 4.1067,                 12.499,                 1.1773,                 4.0519,                 12.769,                 1.1683,             0.00010445,             0.00010445,             0.00010445
                     61,                 4.2101,                 15.088,                 1.1775,                 4.1872,                 15.857,                 1.1578,                0.00074,                0.14655,                0.00367,                0.00079,                 4.1028,                 14.273,                 1.1746,                 4.0655,                 14.758,                 1.1681,             0.00010422,             0.00010422,             0.00010422
                     62,                 4.1694,                 13.866,                 1.1916,                 4.1271,                 14.828,                 1.1656,                 0.0278,                0.02155,                0.00445,                0.00105,                 3.9261,                 9.7878,                 1.1465,                 3.9568,                 10.389,                 1.1487,             0.00010398,             0.00010398,             0.00010398
                     63,                 3.9758,                 11.798,                 1.1813,                  3.987,                 12.725,                 1.1602,                0.08305,                0.04741,                0.00987,                0.00173,                 3.8403,                 9.7433,                 1.1442,                 3.8958,                  10.41,                 1.1522,             0.00010375,             0.00010375,             0.00010375
                     64,                 4.0605,                 11.736,                 1.1731,                 4.0129,                 12.652,                 1.1496,                0.07253,                0.03879,                0.01371,                0.00213,                 3.9411,                 9.2799,                 1.1387,                 3.9535,                 9.6619,                 1.1201,             0.00010351,             0.00010351,             0.00010351
                     65,                 3.9632,                 10.865,                  1.169,                 3.9124,                 11.589,                 1.1341,                 0.0645,                0.06034,                0.01526,                0.00224,                 3.8257,                 9.0929,                 1.1265,                 3.8303,                 9.3231,                  1.094,             0.00010328,             0.00010328,             0.00010328
                     66,                 3.9003,                 10.678,                 1.1656,                 3.8266,                 11.461,                 1.1305,                0.05215,                0.06466,                0.01295,                0.00264,                 3.7662,                 8.5133,                 1.1121,                 3.7788,                 8.8408,                 1.0947,             0.00010305,             0.00010305,             0.00010305
                     67,                  3.787,                  10.55,                 1.1303,                 3.7336,                 11.139,                 1.0923,                0.08271,                0.07759,                0.02523,                0.00409,                 3.7351,                 8.4378,                 1.0931,                 3.6637,                 8.6664,                 1.0701,             0.00010281,             0.00010281,             0.00010281
                     68,                 3.7833,                 10.082,                 1.1477,                 3.7326,                 10.706,                 1.1136,                0.07272,                0.09052,                0.02291,                0.00427,                 3.7549,                 8.0677,                 1.0967,                  3.663,                 8.3014,                  1.075,             0.00010258,             0.00010258,             0.00010258
                     69,                 3.7577,                 9.8481,                 1.1231,                 3.6893,                 10.513,                  1.093,                0.08592,                0.11466,                 0.0336,                0.00657,                 3.6259,                 7.7536,                 1.0776,                 3.5171,                 8.0743,                 1.0463,             0.00010235,             0.00010235,             0.00010235
                     70,                 3.6562,                 9.1549,                 1.1088,                 3.6337,                 9.8489,                 1.0789,                 0.1198,                0.14842,                0.04273,                0.00848,                  3.586,                 7.8022,                 1.0636,                 3.4329,                 7.8791,                   1.04,             0.00010211,             0.00010211,             0.00010211
                     71,                 3.6115,                 9.4448,                 1.0734,                 3.6067,                 9.9207,                 1.0547,                0.12182,                0.14655,                0.04947,                 0.0091,                 3.5161,                 7.4995,                 1.0482,                 3.4287,                 7.7072,                 1.0377,             0.00010188,             0.00010188,             0.00010188
                     72,                 3.5532,                 8.7829,                 1.0919,                 3.5143,                 9.2926,                  1.066,                 0.1349,                0.14655,                0.05361,                 0.0098,                 3.5489,                 7.4088,                 1.0546,                 3.4838,                 7.6976,                 1.0386,             0.00010165,             0.00010165,             0.00010165
                     73,                 3.5868,                 9.0201,                 1.0913,                    3.6,                 9.6947,                 1.0749,                 0.1072,                0.18966,                0.04983,                0.00981,                 3.4898,                 7.1337,                  1.055,                 3.4508,                 7.5043,                 1.0361,             0.00010141,             0.00010141,             0.00010141
                     74,                 3.5475,                 8.5002,                 1.0824,                 3.5384,                  9.086,                 1.0575,                0.16949,                0.22845,                0.08569,                0.01579,                 3.3835,                 6.9632,                  1.036,                 3.3151,                  7.241,                 1.0151,             0.00010118,             0.00010118,             0.00010118
                     75,                 3.6183,                 8.7137,                 1.0888,                 3.5682,                 9.2108,                 1.0621,                 0.1679,                0.21552,                0.08858,                0.01757,                 3.4144,                 6.8558,                 1.0297,                  3.289,                 7.1046,                 1.0074,             0.00010094,             0.00010094,             0.00010094
                     76,                 3.5349,                 8.2947,                 1.0729,                 3.4754,                 8.8249,                  1.046,                0.19048,                0.16379,                0.09173,                0.02037,                 3.3377,                 6.9014,                 1.0216,                 3.2976,                 7.1582,                0.99986,             0.00010071,             0.00010071,             0.00010071
                     77,                 3.4482,                  7.968,                 1.0694,                 3.4097,                 8.7142,                 1.0408,                0.15165,                0.23276,                0.08961,                0.01863,                 3.2768,                 6.7101,                 1.0223,                 3.2664,                 7.0145,                 1.0075,             0.00010048,             0.00010048,             0.00010048
                     78,                 3.4258,                 8.2068,                 1.0462,                 3.3684,                 8.7781,                 1.0237,                0.20073,                0.21121,                0.10387,                 0.0221,                  3.217,                 6.5851,                 1.0115,                 3.1509,                  6.846,                0.99445,             0.00010024,             0.00010024,             0.00010024
                     79,                 3.4343,                 7.8418,                 1.0628,                 3.4058,                 8.5509,                 1.0411,                0.22403,                0.17241,                0.12048,                0.02287,                 3.2253,                 6.6608,                 1.0147,                 3.1756,                 6.9163,                0.99912,             0.00010001,             0.00010001,             0.00010001
                     80,                 3.3698,                 7.7384,                 1.0538,                 3.3485,                 8.2998,                 1.0319,                0.14543,                0.27155,                0.09454,                0.02195,                 3.2564,                  6.556,                 1.0146,                  3.138,                 6.7165,                0.99616,             9.9776e-05,             9.9776e-05,             9.9776e-05
                     81,                  3.394,                 7.5689,                 1.0294,                 3.3873,                 8.0559,                 1.0109,                0.19079,                0.28448,                0.11001,                0.02149,                 3.2951,                 6.4183,                 1.0191,                 3.2523,                  6.726,                 1.0137,             9.9542e-05,             9.9542e-05,             9.9542e-05
                     82,                  3.324,                   7.46,                 1.0472,                 3.2965,                  7.993,                 1.0268,                0.21182,                   0.25,                0.12178,                0.02757,                 3.3253,                 6.4334,                 1.0162,                 3.2005,                 6.6499,                 1.0012,             9.9309e-05,             9.9309e-05,             9.9309e-05
                     83,                 3.3705,                 7.5898,                  1.056,                 3.3678,                  8.261,                 1.0368,                0.20049,                0.28017,                0.11835,                0.02746,                 3.2771,                 6.3688,                 1.0095,                 3.1198,                 6.5831,                0.99159,             9.9075e-05,             9.9075e-05,             9.9075e-05
                     84,                 3.2246,                 7.2915,                 1.0507,                 3.1811,                 8.1428,                 1.0297,                0.21609,                0.27586,                0.13125,                0.03266,                 3.2537,                 6.2067,                 1.0015,                 3.1052,                 6.4633,                0.98925,             9.8842e-05,             9.8842e-05,             9.8842e-05
                     85,                 3.2449,                 7.1904,                 1.0176,                  3.217,                 7.7639,                0.99547,                 0.2337,                0.31034,                0.15303,                 0.0348,                 3.1675,                 6.1112,                0.98831,                 3.1309,                 6.4519,                0.98209,             9.8608e-05,             9.8608e-05,             9.8608e-05
                     86,                 3.1737,                 6.8973,                 1.0196,                  3.155,                 7.3905,                 1.0038,                 0.2541,                0.31466,                0.16706,                0.03928,                 3.1425,                 6.0812,                0.98831,                  3.081,                 6.3597,                0.98241,             9.8374e-05,             9.8374e-05,             9.8374e-05
                     87,                  3.201,                 7.1661,                 1.0174,                 3.1943,                 7.7729,                0.99878,                0.30169,                0.31897,                0.16843,                0.04007,                 3.1628,                 6.1132,                0.99108,                 3.0921,                 6.3852,                 0.9762,             9.8141e-05,             9.8141e-05,             9.8141e-05
                     88,                 3.2024,                  6.904,                 1.0112,                 3.1885,                 7.2989,                0.99702,                0.28623,                0.32328,                0.18832,                0.04914,                 3.0427,                 5.9282,                  0.981,                 2.9858,                 6.2472,                0.97297,             9.7907e-05,             9.7907e-05,             9.7907e-05
                     89,                 3.2265,                 6.8401,                 1.0299,                 3.1856,                 7.4279,                  1.005,                0.25811,                0.32328,                0.16834,                0.04345,                 3.0804,                 5.9051,                 0.9829,                 3.0034,                 6.1627,                0.97131,             9.7673e-05,             9.7673e-05,             9.7673e-05
                     90,                 3.2049,                  6.913,                 1.0167,                 3.2466,                 7.6154,                 1.0052,                0.28386,                0.30412,                0.18434,                0.04463,                 3.1393,                 5.9561,                0.99358,                 3.0366,                 6.2015,                0.97935,              9.744e-05,              9.744e-05,              9.744e-05
                     91,                 3.1389,                  6.762,                0.99301,                 3.1219,                  7.295,                0.98082,                 0.2683,                0.34483,                0.19838,                0.04717,                 3.0892,                 5.8407,                0.97566,                 2.9542,                 6.0616,                0.96716,             9.7206e-05,             9.7206e-05,             9.7206e-05
                     92,                  3.081,                 6.5438,                 1.0026,                 3.1206,                  7.136,                0.99571,                0.28039,                0.39224,                0.20127,                0.04962,                 3.0911,                 5.8514,                0.97459,                 2.9121,                 6.0044,                0.96149,             9.6972e-05,             9.6972e-05,             9.6972e-05
                     93,                 3.0947,                 6.7364,                 1.0127,                 3.0711,                 7.2397,                0.99139,                0.30109,                0.36207,                0.20113,                0.05302,                 3.0921,                 5.7861,                0.97853,                 2.9448,                 5.9512,                0.95943,             9.6739e-05,             9.6739e-05,             9.6739e-05
